Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Eagleford,"HURD ENTERPRISES, LTD.",1.0,1.0,,1.0,1.0,1.0,5
Eagleford,"HYDROCARBON OPERATING, INC.",,,,1.0,,,1
Eagleford,INEOS USA OIL & GAS LLC,1.0,1.0,1.0,2.0,2.0,1.0,8
Eagleford,"INPEX EAGLE FORD, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,IRONROC ENERGY,1.0,1.0,,,,1.0,3
Eagleford,"LAREDO ENERGY OPERATING, LLC",2.0,2.0,1.0,1.0,2.0,2.0,10
Eagleford,"LEWIS PETRO PROPERTIES, INC.",,2.0,1.0,,,,3
Eagleford,MAGNOLIA OIL & GAS OPERATING LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Eagleford,"MAGNUM OPERATING, LLC",,,,1.0,1.0,1.0,3
Eagleford,MARATHON OIL EF LLC,3.0,4.0,2.0,3.0,3.0,3.0,18
Eagleford,MURPHY EXPL. & PROD. CO. - USA,2.0,1.0,1.0,2.0,2.0,2.0,10
Eagleford,"PENN VIRGINIA OIL & GAS, L.P.",2.0,2.0,2.0,2.0,2.0,2.0,12
Eagleford,"PURSUIT OIL & GAS STX, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,RAMTEX ENERGY LLC,1.0,1.0,,1.0,1.0,1.0,5
Eagleford,"RECOIL RESOURCES OPERATING, INC.",1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"REPSOL OIL & GAS USA, LLC",2.0,1.0,1.0,1.0,1.0,1.0,7
Eagleford,"RIO GRANDE E&P, LLC",,,1.0,1.0,,1.0,3
Eagleford,"ROSEWOOD RESOURCES, INC.",2.0,1.0,2.0,1.0,2.0,2.0,10
Eagleford,SILVER HILL ENERGY OPERATING LLC,1.0,1.0,1.0,1.0,,1.0,5
Eagleford,"SILVERBOW RESOURCES OPER, LLC",1.0,,,,,1.0,2
Eagleford,SM ENERGY COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,"SN EF MAVERICK, LLC",,,1.0,1.0,1.0,1.0,4
Eagleford,"TRINITY OPERATING (USG), LLC",2.0,2.0,2.0,2.0,2.0,2.0,12
Eagleford,VALIDUS NRG AQUILAS ASSETCO LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,VENADO OPERATING COMPANY LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Eagleford,WHEELER OPERATING CORPORATION,,,1.0,,,,1
Green River,JONAH ENERGY LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Green River,ULTRA RESOURCES INC,1.0,,,,,,1
Green River,"ULTRA RESOURCES, INC",,1.0,,,,,1
Gulf Coast,"ACOCK/ANAQUA OPERATING CO., LP",,,1.0,,,,1
Gulf Coast,"ALLEGIANT RESOURCES, LLC",,,1.0,,,,1
Gulf Coast,"ARALUEN ENERGY, INC.",1.0,,,1.0,1.0,1.0,4
Gulf Coast,"ARENA OFFSHORE, LP",2.0,2.0,1.0,2.0,2.0,2.0,11
Gulf Coast,"B&L RESOURCES, L.L.C.",,,,1.0,,,1
Gulf Coast,BIG LAKE CORPORATION,1.0,,,,1.0,1.0,3
Gulf Coast,BLUEFIN RESOURCES LLC,1.0,,,,1.0,1.0,3
Gulf Coast,"CALLOWAY ENGINEERING, LLC",,,1.0,,,,1
Gulf Coast,"CASTEX ENERGY, INC.",,,1.0,1.0,,,2
Gulf Coast,"CHARRO OPERATING, L.L.C.",,,1.0,,,,1
Gulf Coast,"CIMARRON ENGINEERING, LLC",1.0,1.0,,1.0,1.0,1.0,5
Gulf Coast,DUNN EXPLORATION COMPANY,1.0,1.0,1.0,1.0,1.0,2.0,7
Gulf Coast,"FREEPORT-MCMORAN ENERGY, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Gulf Coast,HILCORP ENERGY COMPANY,,1.0,,,,,1
Gulf Coast,KALER ENERGY CORP.,1.0,1.0,,,1.0,1.0,4
Gulf Coast,"KEBO OIL & GAS, INC.",1.0,2.0,,1.0,1.0,1.0,6
Gulf Coast,"KILLAM OIL CO., LTD.",1.0,1.0,1.0,1.0,1.0,1.0,6
Gulf Coast,KINGWOOD EXPLORATION LLC,,,1.0,,,,1
Gulf Coast,"LAFAYETTE OILFIELD CONTRACTORS, INC.",,1.0,1.0,,,,2
Gulf Coast,"LLOX, L.L.C.",,1.0,,,,,1
Gulf Coast,LONE STAR NGL MONT BELVIEU LP,,,1.0,,,,1
Gulf Coast,MORTIMER PRODUCTION COMPANY,,,,1.0,1.0,,2
Gulf Coast,"NYE EXPLORATION & PROD, L.L.C.",1.0,1.0,,,,,2
Gulf Coast,"PONDEROSA OIL & GAS, LLC",,,1.0,,,,1
Gulf Coast,"RAVEN FOREST OPERATING, LLC",,,,1.0,,,1
Gulf Coast,"ROBERTSON ENERGY, LLC",1.0,1.0,,1.0,1.0,1.0,5
Gulf Coast,"SAFARI PRODUCTION COMPANY, INC.",1.0,1.0,1.0,1.0,1.0,1.0,6
Gulf Coast,SAGE GEOSYSTEMS LLC,,,1.0,,,,1
Gulf Coast,"SARITA ENERGY RESOURCES, LTD.",,,1.0,,,,1
Gulf Coast,"STRAND ENERGY, L.C.",1.0,1.0,,,,,2
Gulf Coast,"SUEMAUR EXPL. & PROD., LLC",1.0,,1.0,1.0,1.0,1.0,5
Gulf Coast,"T-C OIL COMPANY, LLC",1.0,1.0,2.0,1.0,1.0,1.0,7
Gulf Coast,"UNDERGROUND SERVICES MARKHAM,LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Gulf Coast,UNITED TEXAS OIL LLC,1.0,,,1.0,1.0,1.0,4
Gulf Coast,"VANTAGE OPERATING, LLC",,,1.0,1.0,1.0,1.0,4
Gulf Coast,"WHITEHEAD RESOURCES, LTD.",,,,,1.0,,1
Gulf Coast,"WHITNEY OIL & GAS, LLC",1.0,,1.0,1.0,1.0,1.0,5
Gulf Coast,ZARVONA ENERGY LLC,1.0,1.0,,,1.0,1.0,4
Haynesville,BPX OPERATING COMPANY,3.0,3.0,1.0,2.0,3.0,3.0,15
Haynesville,"COMSTOCK OIL & GAS, LLC",2.0,2.0,1.0,2.0,2.0,2.0,11
Haynesville,"TRINITY OPERATING (USG), LLC",3.0,3.0,3.0,3.0,3.0,3.0,18
Haynesville,"STRAND ENERGY, L.C.",1.0,1.0,1.0,1.0,1.0,,5
Haynesville,AETHON ENERGY OPERATING L,7.0,7.0,7.0,6.0,7.0,8.0,42
Haynesville,AETHON ENERGY OPERATING LLC,7.0,7.0,5.0,7.0,7.0,7.0,40
Haynesville,"BETSY PRODUCTION CO., INC.",,1.0,,,,,1
Haynesville,"BLACKWELL EXP & DEVELOPMENT, LLC",,,1.0,,,,1
Haynesville,"BLUE DOME OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,"C6 OPERATING, L.L.C.",1.0,1.0,,1.0,1.0,1.0,5
Haynesville,"CHESAPEAKE OPERATING, L.L.C",4.0,4.0,3.0,2.0,3.0,3.0,19
Haynesville,"COMSTOCK OIL & GAS--LA, LLC",2.0,1.0,3.0,2.0,2.0,2.0,12
Haynesville,DALLAS PRODUCTION COMPANY LLC,1.0,1.0,,,,,2
Haynesville,"EMPRESA OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,ENSIGHT IV ENERGY MANAGEM,1.0,,1.0,1.0,1.0,1.0,5
Haynesville,"EXCO OPERATING COMPANY, LP",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,"FONTAINEBLEAU OPERATING, LLC",1.0,,,1.0,1.0,1.0,4
Haynesville,"GEP HAYNESVILLE II, LLC",2.0,2.0,1.0,2.0,2.0,2.0,11
Haynesville,"GEP HAYNESVILLE, LLC",4.0,4.0,5.0,4.0,4.0,4.0,25
Haynesville,GOODRICH PETROLEUM COMPA,,1.0,,1.0,,,2
Haynesville,INDIGO MINERALS LLC,5.0,4.0,6.0,6.0,6.0,6.0,33
Haynesville,"MAXIMUS OPERATING, LTD.",1.0,1.0,1.0,,,,3
Haynesville,PA PROSPECT CORPORATION,1.0,1.0,,,1.0,1.0,4
Haynesville,"PETRO-CHEM OPERATING COMPANY, INC.",,1.0,1.0,,,,2
Haynesville,"PETROQUEST ENERGY, L.L.C.",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,"PINE WAVE ENERGY PARTNERS OP,LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Haynesville,QUANICO OIL & GAS INC,,,,1.0,,,1
Haynesville,"R. LACY SERVICES, LTD.",1.0,1.0,,,1.0,1.0,4
Haynesville,"R360 ENVIRONMENTAL SOLUTIONS OF LA, LLC",1.0,1.0,,1.0,1.0,1.0,5
